,label,pca1,pca2
1,1,-1.936538682,4.796963221
2,1,-1.654159027,2.464434814
3,1,-1.252057149,1.679895822
4,1,1.581228644,-1.001998786
5,1,-3.050876515,4.653044674
6,1,-0.385077877,5.556255415
7,1,-1.603800965,2.46835384
8,1,-3.216042284,0.4144402
9,1,-0.593167931,6.185512915
10,1,0.284170664,4.34817709
11,1,-2.856977202,4.830669747
12,1,-6.528563843,1.97529589
13,1,-0.087361253,1.827733395
14,1,0.140003072,-0.383368988
15,1,0.538535373,-0.779527036
16,1,0.497096625,2.093087438
17,1,-0.954633437,-1.152486004
18,1,-0.840890287,1.356981605
19,1,0.63933815,-0.668177147
20,1,-1.716710512,4.933614359
21,1,-0.493108513,-1.471481195
22,1,-1.03071061,3.555843889
23,1,-6.048565036,1.515063247
24,1,0.222912587,4.187085161
25,1,-1.318792415,0.998266555
26,1,-2.431984651,4.501495909
27,1,-5.452677741,0.180607308
28,1,-0.056524313,0.149995486
29,1,-2.611499667,4.089636046
30,1,0.453640771,4.480909202
31,1,-0.073535565,1.821473774
32,1,-1.8101685,3.126066034
33,1,-2.568604477,-0.739557063
34,1,-1.798065332,3.09135172
35,1,-5.954824624,0.396426513
36,1,0.141194199,-0.462872439
37,1,-3.900606429,-3.457470758
38,1,-4.274576611,3.165332897
39,1,-1.506061223,3.881098701
40,1,-2.627606485,4.295416142
41,1,-2.416383728,3.627330888
42,1,1.462627816,1.103564186
43,1,-2.804875421,0.091525982
44,1,-6.744108872,2.504289874
45,1,-2.445445286,3.707132577
46,1,-1.467806329,3.919732042
47,1,-5.516861492,0.182947903
48,1,-1.977565489,3.291897429
49,1,-6.209948646,1.267766438
50,1,-6.187587782,-0.7042569
51,1,-1.545450714,3.127709305
52,1,-0.886804306,2.928926984
53,1,0.689696212,-0.664258121
54,1,-0.562711866,2.152988208
55,1,-6.667821954,2.467234965
56,1,0.701063735,-1.486394127
57,1,-6.320473789,1.34603839
58,1,-1.725889393,3.744447563
59,1,-3.601587491,0.958787029
60,1,0.552361061,-0.785786657
61,1,-1.652526762,4.931273764
62,1,0.439815083,4.487168823
63,1,0.517824521,4.478568607
64,1,-1.811525967,2.296988388
65,1,0.991354729,-0.080671051
66,1,-2.312805436,2.663217136
67,1,-6.732185437,2.063233917
68,1,-6.887650123,2.330583827
69,1,-1.754888875,-2.171068378
70,1,-3.637203146,1.76531866
71,1,0.6982632,3.861830349
72,1,-5.939267311,0.371842152
73,1,-3.573936114,0.946267787
74,1,-2.335602376,5.085163124
75,1,-3.508835645,1.760637471
76,1,-0.561918561,1.12246564
77,1,-2.553047163,-0.764141424
78,1,-3.914432117,-3.451211137
79,1,-1.951741374,1.283224611
