"","trainlabel","pca1","pca2"
"1",1,-1.93653868166986,4.7969632207311
"2",1,-1.65415902744465,2.46443481427655
"3",2,-1.25205714909349,1.67989582232687
"4",1,1.58122864427651,-1.00199878571187
"5",1,-3.05087651531751,4.65304467377677
"6",1,-0.385077876743949,5.55625541490076
"7",1,-1.60380096519269,2.46835384045365
"8",2,-3.2160422839693,0.414440199739329
"9",1,-0.593167931357224,6.18551291498752
"10",1,0.284170663540175,4.34817708964613
"11",1,-2.85697720181186,4.83066974720184
"12",1,-6.52856384330085,1.97529588995353
"13",2,-0.0873612531938678,1.82773339545831
"14",1,0.140003072365705,-0.383368988301552
"15",1,0.538535373113478,-0.779527035772521
"16",1,0.497096625076708,2.09308743808477
"17",2,-0.954633437486536,-1.15248600382858
"18",2,-0.840890286560807,1.35698160501145
"19",2,0.639338150102763,-0.668177146940788
"20",1,-1.71671051201068,4.93361435884091
"21",2,-0.493108512701894,-1.47148119496689
"22",1,-1.03071060998677,3.55584388892475
"23",1,-6.0485650364777,1.51506324740642
"24",1,0.222912586575739,4.18708516087002
"25",2,-1.31879241503646,0.998266554920101
"26",1,-2.43198465105306,4.50149590885516
"27",1,-5.45267774108542,0.18060730765967
"28",1,-0.0565243133449355,0.149995486472294
"29",1,-2.61149966691659,4.0896360458536
"30",1,0.453640770947396,4.48090920157883
"31",2,-0.0735355649677411,1.82147377442705
"32",1,-1.81016849950724,3.12606603379315
"33",1,-2.56860447671521,-0.739557063277122
"34",1,-1.79806533157984,3.09135171950915
"35",1,-5.95482462429228,0.39642651342192
"36",1,0.141194198806927,-0.462872439488363
"37",2,-3.90060642897754,-3.45747075828852
"38",1,-4.2745766110589,3.16533289673072
"39",1,-1.50606122299754,3.88109870109432
"40",1,-2.62760648485743,4.29541614217735
"41",1,-2.4163837279975,3.62733088814698
"42",1,1.46262781614908,1.10356418649264
"43",2,-2.80487542143662,0.091525982423909
"44",1,-6.74410887202915,2.50428987394675
"45",1,-2.44544528639769,3.70713257740585
"46",1,-1.46780632867298,3.91973204155542
"47",1,-5.51686149156351,0.182947902513823
"48",1,-1.97756548901257,3.29189742876903
"49",1,-6.20994864581846,1.26776643781732
"50",1,-6.18758778171831,-0.704256899799713
"51",1,-1.5454507144957,3.12770930496027
"52",1,-0.886804305851586,2.92892698369214
"53",2,0.689696212354726,-0.66425812076368
"54",2,-0.562711866204636,2.15298820762788
"55",1,-6.66782195362366,2.4672349648086
"56",1,0.701063735419385,-1.48639412660831
"57",1,-6.32047378868757,1.34603838986677
"58",1,-1.72588939265672,3.74444756298451
"59",1,-3.60158749079371,0.958787029100307
"60",1,0.552361061339605,-0.785786656803783
"61",1,-1.65252676153259,4.93127376398676
"62",1,0.439815082721269,4.48716882261009
"63",1,0.517824521425485,4.47856860672468
"64",1,-1.81152596692447,2.29698838805985
"65",1,0.991354729048803,-0.0806710505301035
"66",1,-2.31280543608877,2.66321713554468
"67",1,-6.73218543742926,2.0632339169732
"68",1,-6.88765012328284,2.33058382669879
"69",1,-1.7548888746703,-2.17106837798752
"70",1,-3.63720314582097,1.76531866047955
"71",1,0.698263199586507,3.86183034870044
